generation_index,timestamp,algorithm,width,height,wall_thickness,total_cells,floor_cells,wall_cells,rooms,enemies,hearts,generation_time_ms
1,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
2,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
3,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
4,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
5,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
6,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
7,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
8,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
9,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
10,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
11,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
12,2026-6-13_17-27-35,bsp,60,60,4,3600,0,0,0,0,0,0
13,2026-6-13_17-27-36,bsp,60,60,4,3600,0,0,0,0,0,0
14,2026-6-13_17-27-36,bsp,60,60,4,3600,0,0,0,0,0,0
15,2026-6-13_17-27-36,bsp,60,60,4,3600,0,0,0,0,0,0
